step,ce,loss,first_ce,avg_ponder,expected_steps,grad_norm_avg,avg_forget_cost,avg_storage_cost,diversity_loss,temporal_drift,forget_density,saturation
5000,10.8063,21.6229,11.1416,2.9825,15.7623,13.3434,0.7049,3.9492,0.968724,20.902657,0.703975,95.4218
5100,10.7080,21.4573,10.7220,2.3090,15.0360,12.2473,0.6939,4.0475,0.968740,20.575306,0.693107,80.4765
5200,10.6958,21.4185,10.8687,2.2524,14.9570,12.0537,0.6946,3.9778,0.968736,20.662701,0.693654,80.0705
5300,10.7251,21.5006,10.3363,3.0619,15.8503,11.6628,0.6955,4.1611,0.968739,20.620632,0.694727,96.8657
5400,10.6624,21.3642,10.4453,2.1852,14.8965,11.2839,0.6967,4.0470,0.968741,20.677187,0.695818,77.3107
5500,10.6378,21.3010,10.8507,3.0200,15.8138,11.6180,0.6964,4.1417,0.968739,20.791477,0.695498,96.1175
5600,10.6302,21.3154,10.1653,2.4349,15.2186,11.6711,0.6941,3.9652,0.968733,20.612812,0.693324,83.8028
5700,10.6490,21.2774,10.2182,1.8940,14.4682,11.7620,0.6947,4.1359,0.968741,20.690813,0.694268,68.2424
5800,10.5399,21.1186,10.3406,3.1282,15.9035,11.2484,0.6979,4.0191,0.968738,20.582281,0.697085,98.0015
5900,10.5415,21.1015,10.4784,2.5156,15.2424,11.7226,0.6891,4.0504,0.968737,20.601761,0.688768,85.6655
6000,10.6081,21.2168,10.4028,2.8407,15.6542,10.5287,0.6959,4.1398,0.968740,20.676613,0.695075,92.5893
6100,10.5299,21.0618,10.8568,2.9708,15.7685,10.9840,0.6987,4.1543,0.968737,20.834442,0.698315,95.1764
6200,10.5261,21.0572,11.0805,2.5093,15.2609,10.5981,0.6985,3.7590,0.968735,20.689560,0.697844,85.4876
6300,10.4980,21.0214,10.7489,1.5839,13.8659,10.0665,0.6972,3.8284,0.968732,20.666660,0.696918,59.9860
6400,10.5136,21.0268,10.3675,2.8388,15.6601,11.9507,0.6932,4.0118,0.968734,20.547596,0.692174,92.6512
6500,10.5156,21.0676,10.7706,1.8080,14.2948,12.5605,0.6945,4.0104,0.968737,20.673471,0.694099,67.4855
6600,10.4805,21.0143,10.5755,2.8864,15.6778,10.9747,0.6985,4.1999,0.968734,20.736073,0.697853,93.7125
6700,10.4467,20.8854,10.2497,2.8722,15.6902,10.4601,0.6926,4.1180,0.968740,20.574539,0.691955,93.3811
6800,10.4037,20.8591,10.1592,2.7346,15.5500,10.8338,0.6954,4.2114,0.968738,20.791317,0.694623,90.4725
6900,10.3765,20.8115,10.5318,3.0899,15.8743,9.9707,0.6941,4.2247,0.968739,20.643593,0.693302,97.3750
7000,10.3327,20.7013,10.5401,2.1435,14.7947,11.3525,0.6997,3.9662,0.968734,20.709652,0.699362,76.0699
7100,10.4474,20.9411,10.0524,3.0396,15.8292,9.5870,0.6945,4.0626,0.968739,20.634930,0.694005,96.4945
7200,10.4323,20.9185,10.8028,2.5999,15.3995,9.3950,0.6943,3.8558,0.968730,20.599154,0.693614,87.4344
7300,10.3195,20.6661,9.7367,1.4319,13.7205,9.1633,0.6956,3.8911,0.968736,20.707890,0.695369,54.9576
7400,10.3054,20.6778,10.0167,2.6559,15.4863,9.7702,0.6927,4.1148,0.968737,20.526089,0.692068,88.7101
7500,10.3230,20.7154,10.1201,2.5121,15.3275,8.6500,0.6919,4.1579,0.968737,20.532402,0.691109,85.2954
7600,10.2593,20.5612,10.5011,2.0291,14.7086,8.2152,0.6903,4.1427,0.968741,20.722843,0.689819,72.6883
7700,10.2656,20.5869,9.7360,2.2031,14.9136,9.0788,0.6933,4.1716,0.968738,20.612041,0.692774,77.5517
7800,10.3521,20.7510,10.2741,2.0112,14.7199,9.7694,0.6895,4.1643,0.968741,20.609941,0.689016,72.1504
7900,10.2832,20.5965,10.1739,2.6244,15.4385,9.4303,0.6898,3.9675,0.968734,20.490398,0.689591,88.0194
8000,10.1914,20.4849,10.2258,2.7218,15.5234,8.3034,0.6910,3.9461,0.968725,20.591972,0.690293,90.4587
8100,10.2064,20.4608,10.0872,1.0656,13.0563,7.7043,0.6899,4.0945,0.968740,20.468824,0.689716,40.8673
8200,10.2989,20.6544,10.3845,3.0453,15.8436,9.4530,0.6938,4.1100,0.968738,20.634340,0.693208,96.5652
8300,10.2509,20.5903,10.8506,1.2578,13.5504,8.6919,0.6916,3.9949,0.968739,20.526567,0.691373,49.4555
8400,10.2146,20.4859,10.5432,2.6803,15.5057,8.0022,0.6890,4.1602,0.968739,20.558935,0.688365,89.3040
8500,10.1900,20.4822,10.3146,2.0904,14.8735,8.1251,0.6876,4.0304,0.968740,20.475725,0.687080,74.0814
8600,10.0908,20.2280,9.9859,2.1742,14.9717,8.3264,0.6895,4.1316,0.968738,20.551510,0.688976,76.7342
8700,10.2385,20.5088,10.1917,1.5464,13.9855,8.1964,0.6883,4.0788,0.968739,20.551500,0.688266,59.0405
